,info,title,advantage,drawback,opinion,promotion,welfaresalary,worklifebalance,culture,executives,total,date,region,workingstatus,department
31,생산/제조 | 전직원 | 전북 | 2019/7/4,최고의 회사 갓기업이란 말이 괜히 있는게 아님 사람들이 욕하는 이유는 부러워서인듯,회사 내 분위기 자유로우며 상하복종 그런거 별로 없고 생산이다보니 자기 할일만 하면 터치 안함 복지 연봉은 말할 것도 없이 너무 좋음,단순업무의 반복이라 머리가 굳을 수 있음주의할것 내가 기계가 된 것 같은 느낌적인 느낌,지금자체로도 참 좋은 회사 인거 같은데 애사심을 키울 수있는 방법을 찾아 직원들의 애사심을 키우면 더 큰 회사가 될 수 있을 것 같네요,3.0,5.0,4.0,3.0,3.0,3.6,2019-07-04 00:00:00, 전북 , 전직원 ,생산/제조 
32,생산/제조 | 전직원 | 울산 | 2019/6/28,일도 쉽고 급여도 괜찮고 근무환경도 괜찮으나 계약직에서 정규직이 되는건 불가능,일단 다른 생산제조 업에 비해 업무강도가 현저히 낮음 일이 편하고 급여가 좋고 추석 설날 등 추가적인 수입이 있으며 근무환경도 좋음,촉탁계약직에서 정규직되는건 불가능하다고 보면됨 2년동안 돈은 벌지만 2년동안 꼭 다른일을 준비해서 퇴사해야됨,촉탁계약직에게도 성과에 따라 정규직 전환의 기회가 있었으면 좋겠음,2.0,4.0,4.0,4.0,4.0,3.6,2019-06-28 00:00:00, 울산 , 전직원 ,생산/제조 
33,생산/제조 | 전직원 | 울산 | 2019/6/27,안정적인 직장 및 높은 연봉 생산직으로 갈 수 있는 최고의 회사,연봉이 많음 각종 복지 혜택들이 많음 자신의 업무만 완벽히 처리한다면 아무런 터치가 없음,평균 연령이 높음 경직된 구조 자기들만의 문화 및 그룹이 확고함 비흡연자들을 위한 구역이 따로 없음 공장 전체가 흡연구역임,솔직히 말해서 딱히 바라는게 없음 복지도 만족 급여도 만족함,2.0,5.0,4.0,3.0,4.0,3.6,2019-06-27 00:00:00, 울산 , 전직원 ,생산/제조 
34,생산/제조 | 전직원 | 울산 | 2019/6/25,근무 환경도 매우 자유로운 편이고 돈도 많이주는 천상의 회사 아르바이트도 짱짱임,보니까 휴가도 마음대로 쓰시고 분위기도 되게 화기애애하셔서 실수해도 잘 마무히지어주심 무엇보다 돈을 많이주는게 최고임,딱히 단점이랄게 없음 굳이 단점을 찾자면 회사에 처음 가면 어떻게 해야하는지 모른다는점,직원들의 불만이 생기지 않도록 최소한 지금처럼만이라도 계속 해주셨으면,4.0,5.0,5.0,5.0,5.0,4.8,2019-06-25 00:00:00, 울산 , 전직원 ,생산/제조 
35,생산/제조 | 현직원 | 울산 | 2019/6/22,여기서 힘들다하면 딴곳가서는 죽어야할곳,부족하지 않은 연봉 뛰어난 워라벨 그리고 무엇보다 육체적 정신적 고통이 없다 쉬면서 일을 할 수 있다 근무강도 최하,노사간의 갈등때문에 파업철엔 항상 시끄러우며 계약직과 정규직의 괴리감이 아주 심해서 갑을 관계또한 명확함,그냥 빨리 정리할 사람 정리하고 연봉 반만 줘도 들어올사람 널렸으니까 채용 좀 해주세요,1.0,4.0,4.0,3.0,3.0,3.0,2019-06-22 00:00:00, 울산 , 현직원 ,생산/제조 
36,생산/제조 | 현직원 | 울산 | 2019/6/21,일이 편하고 높은 연봉을 받을 수 있는곳 밥이 맛있는 곳,조식 950원 점심메뉴 AB코스로 식사가 맛있으며 주간 2교대를 하기때문에 건강에도 문제가 없음,계약직이기때문에 고용 불안이 항상있음 정규직이 무시하는 경우가 가끔 있음,,1.0,3.0,5.0,5.0,3.0,3.4,2019-06-21 00:00:00, 울산 , 현직원 ,생산/제조 
37,생산/제조 | 전직원 | 울산 | 2019/6/21,임직원이 대우 받으며 회사에서 주는 복지가 아주 좋은 회사,밥이 맛있고 편의 시설 헬스 목욕탕 쉬는시간에 쉴수있는 공간도 아주 좋고 주간 이교대 시간도 괜찮아서 다니기 좋은 직장,단순노동이긴 하지만 지속된 같은 일로 몸 이상이 생길수 있음으로 몸관리를 철저히 하여야 하고 위험한 작업이 있음으로 작업에 대해 안전을 유의하여야 함,신입 공채를 뽑아 주셨으면 합니다 계약직 했던 아주 좋은 인재들이 많은데 퇴사자만 있을뿐 신입 채용을 안하는게 너무 안타깝습니다,4.0,5.0,4.0,4.0,3.0,4.0,2019-06-21 00:00:00, 울산 , 전직원 ,생산/제조 
38,생산/제조 | 전직원 | 울산 | 2019/6/20,계약직으로 2년이 한계이지만 급여부분에 있어서 불만이 없다 주간2교대로 일하기에 만족도가 좋다,정규직과 거의 동일한 복지와 급여 연차 등 금액적인 부분이 장점인거 같다 주간2교대로 일과 휴식이 잘 구분되어 개인적인 시간이 있어 좋다,계약직 특성상 대부분 힘들거나 어려운 일을 맡게 된다 정말 힘든 자리는 너무 포기하게 된다 계약기간이 6개월단위라 매번 새로 계약을 해야한다 기숙사가 없으니 타지에서 방을 구하기 힘들다,2년계약을 울타리와 신규 생산직무는 채용을 안한다 1차 사내협력업체에서 정규직으로 채용하기에 공채가 있었으면 좋겠다 힘들다 살기,1.0,4.0,4.0,3.0,3.0,3.0,2019-06-20 00:00:00, 울산 , 전직원 ,생산/제조 
39,경영/기획/컨설팅 | 전직원 | 서울 | 2019/6/20,대기업 답게 연봉이 좋음 모든게 좋았던회사 더욱 발전할수 있는회사,성장력 가치 무궁무진한 잠재력또한 있음 더욱발전 하세요,딱히 적을건 없자만 복지가 더욱 좋았으면 좋을듯 합니다,시대흐름애 맞추어 발전 하는 조작이 되길 바랍니다 화이팅,3.0,5.0,4.0,4.0,4.0,4.0,2019-06-20 00:00:00, 서울 , 전직원 ,경영/기획/컨설팅 
40,생산/제조 | 전직원 | 울산 | 2019/6/19,아르바이트였지만 만족하고 대기업다운 대우를 받았을 수 있었다,많은 인원으로 다른 제조업 교대보다 편했다 일은 단순업무로 초보자도 쉽게 할수있다,아직도 공장에서 담배를 태우는 어른들이 있다 많지는 않지만 민폐다,아르바이트나 일용직보다 제대로된 직원을 채용하는게 좋을거같다 자동차의 품질이 많이 떨어질거라는 생각이든다,3.0,5.0,5.0,5.0,3.0,4.2,2019-06-19 00:00:00, 울산 , 전직원 ,생산/제조 
41,생산/제조 | 전직원 | 서울 | 2019/6/16,아르바이트지만 비교적 좋은 급여를 받을 수 있어 좋았다,근무하는 사람들이 좋았고 일에대해서 잘 배울수 있었던 점이 장점인것 같다,업무가 일부분 비 효율적으로 굴러가는 면이 보였다 몇몇 세부 공정은 재정비가 필요하다,전체적으로는 큰 리스크도 없고 무난한 편이지만 몇가지 세부 공정이 비효율적으로 진행되는 면이있어서 꼼꼼한 점검이 필요해 보였음,4.0,4.0,4.0,4.0,4.0,4.0,2019-06-16 00:00:00, 서울 , 전직원 ,생산/제조 
42,생산/제조 | 전직원 | 울산 | 2019/6/16,자부심을 가지고 다닐 수 있는 손에 꼽히는 기업,연차 및 월차 자유롭게 사용 직종 불문 제조업 중에 최상위 급여 및 복지,정규직 공개채용이 없다기피하고 계약직 채용으로 만료 후 정규직 전환 없이 그대로 계약 종료,정규직 공개 채용을 하시길 바라며 계약직 채용의 경우 한두달 단기 쪼개기 계약이 아닌 6개월 이상 장기 계약 하시길 당부 드림,1.0,5.0,5.0,3.0,3.0,3.4,2019-06-16 00:00:00, 울산 , 전직원 ,생산/제조 
43,생산관리/품질관리 | 현직원 | 울산 | 2019/6/16,연봉과 복지 업계 최고수준 커리어 쌓기 좋음,체계적인 시스템이 잡혀있고 연봉과 복지 수준 최고 연차 등 휴가 눈치 받지 않고 사용가능,수직적이고 남자가 많다보니 약간 보수적인 스타일 낮은 기본급,지금처럼만 쭉쭉 성장해 나가면 좋겠다,5.0,5.0,5.0,5.0,5.0,5.0,2019-06-16 00:00:00, 울산 , 현직원 ,생산관리/품질관리 
44,생산/제조 | 전직원 | 울산 | 2019/6/14,노조가 강성이라서 대기업중에서도 복지가 좋은편에 속하지만 사측과 노조의 잦은 갈등 친환경차 보급으로 인해ex 엔진관련 부서 비전X  인원감축 배터리 자체생산 X 더이상의 발전가능성은 없어보임,계약직임에도 불구 근무하는동안엔 정규직과 같은 급여성과금포함 받을수있음 연차사용에 자유로움,나이가 많은 분들이 많아 흔히 말하는 꼰대 문화가 남아있음 관리직사람들과 생산직 사람들의 갈등이 많음,,1.0,5.0,4.0,2.0,2.0,2.8,2019-06-14 00:00:00, 울산 , 전직원 ,생산/제조 
45,생산/제조 | 전직원 | 울산 | 2019/6/14,큰 기업 좋은 복지 짧은 근무 시간 생산직의 경우 최고의 직장,노조로 인해 생산직의 근무요건이 매우 좋음 또한 동종업계 최고이 연봉 수준을 자랑함,하는 업무에 비해 노조의 요구가 정말 과하여 노사갈등이 심함,연례행사인 파업과 노사갈등을 해결하여 부디 소비자들에게 우수하고 균일한 품질의 차량을 공급하길,1.0,5.0,5.0,4.0,2.0,3.4,2019-06-14 00:00:00, 울산 , 전직원 ,생산/제조 
46,경영/기획/컨설팅 | 전직원 | 서울 | 2019/6/13,좋은 사람들과 화기애애한 분위기에서 즐겁게 일했습니다,아르바이트 사원임에도 불구하고 보수를 제외하고 정사원과 비슷한 처우를 해주어서 좋았습니다,이른 출근시간8시으로 인해 피곤해 하는 직원들이 많았습니다 현재는 아닌 것으로 알고 있지만 2018년에는 다소 보수적 획일적 복장,잠시 일하다 나왔기 때문에 크게 아쉽거나 바라는 점은 없습니다,3.0,5.0,3.0,4.0,3.0,3.6,2019-06-13 00:00:00, 서울 , 전직원 ,경영/기획/컨설팅 
47,생산/제조 | 전직원 | 울산 | 2019/6/8,역시 대기업은 대기업 쉬는시간 잘 지키고 간식도 잘 줍니다 근무 강도도 크게 힘들지 않습니다,서로 돕고 근무강도도 세지 않아요 역시 대기업은 대기업이구나,자동차 판매량이 최근 저조해 앞으로 어떻게 될 지 예상이 잘 되지않은 기업,정규직 채용을 좀 더 하시면 다양한 인재들이 지원하지 않을까싶습니다,4.0,5.0,5.0,5.0,4.0,4.6,2019-06-08 00:00:00, 울산 , 전직원 ,생산/제조 
48,인사/총무 | 전직원 | 해외 | 2019/6/7,대기업 답게 직원 처우 부분 상당히 좋음,업무 세분화로 인해 어러 잡다한일 할 필요없이 딱 자기가 해야할 일만 잘하면 됨,대기업이라 보고 과장이 너무 복잡해 일처리가 늦고 한국 주재원 근무자들 중 다는 아니지만 일부 대기업 부심이 쩔어서 일처리를 막무가내로 하시는 분들 있음,주재원과 현지채용의 갭 차이가 너무 심해서 같은 일을 하지만 소외 당하는 기분이 들때도 많습니다 현지채용에게도 따뜻한 시선으로 바라봐주시기 바랍니다,3.0,5.0,4.0,3.0,3.0,3.6,2019-06-07 00:00:00, 해외 , 전직원 ,인사/총무 
49,연구개발 | 현직원 | 경기 | 2019/6/6,연구개발을 진정 할 의지가 있는지 의심스러운 부분이 많음,연구원들은 생활하기 나쁘지 않음 통근 버스도 어느 정도 잘 되어 있는 편이며 대기업다운 복지 제공,연차 높은 사람들의 꽉 막힌 사고방식을 보면 답답함을 말로 표현 할 수 없다 인사과의 인력배치 및 보직자 임명 역시 8대 불가사의라 생각 될 만큼 의문이 많이 듦,보고 계신진 모르겠으나 진정 게임체인저가 되기 위해서는 좀 더 과감한 변화를 추구해야 한다고 생각합니다 모두가 알지만 그 누구도 행하지 못하는 현 실태를 언제까지 보고만 있으실 건가요,3.0,3.0,4.0,4.0,3.0,3.4,2019-06-06 00:00:00, 경기 , 현직원 ,연구개발 
50,생산/제조 | 전직원 | 울산 | 2019/6/5,아르바이트로 했지만 직원분들이 많이 배려해주시고 작업장도 깔끔하고 좋았습니다,생산라인 조립 아르바이트였는데 우선 돈을 많이 받았습니다 같이 작업하시는 분들도 좋았습니다,딱히 떠오르지는 않지만 단순 반복작업이라 좀 지루했던 점 빼면 다 괜찮았습니다 이건 기업의 단점이 아니니깐요,딱히 바라는 점은 없습니다 아르바이트생이라 뭘 몰랐거든요,4.0,5.0,5.0,5.0,4.0,4.6,2019-06-05 00:00:00, 울산 , 전직원 ,생산/제조 
51,영업/제휴 | 전직원 | 경기 | 2019/6/4,영업판매를 경험하기에 좋다 기본급은 없었지만 인센티브가 많아서 하는것에따라 다르다,프리랜서라 출근후 자유롭다 당직을 잘서면 좋다 워라벨 최고,판매를 못하면 인센이 없어 생활이 불가능하다 이런쪽에 타고난 재능이 있어야 오래간다,프리랜서직종도 기회가 있었으면 좋겠습니다 항상 좋은차 만들어주셔서 감사합니다,1.0,4.0,5.0,3.0,4.0,3.4,2019-06-04 00:00:00, 경기 , 전직원 ,영업/제휴 
52,경영/기획/컨설팅 | 현직원 | 경기 | 2019/6/3,워라벨에 신경쓰며 최근 분위기가 확 바뀜,케바케겠지만 대리까지 노조 보호받는 남양연구소 공장 등에서는 워라벨 보장가능할듯,윗대가리들 한마디면 리스크고 뭐고 고려하지 않고 추진함 애초에 심기거스를까봐 리스크를 제대로 보고 안하고 알아서 무마하려고 함 보통은 협력사의 희생을 의미함,수직적인 의사결정문화에 종언을 고해야할 때,3.0,4.0,4.0,2.0,2.0,3.0,2019-06-03 00:00:00, 경기 , 현직원 ,경영/기획/컨설팅 
53,생산/제조 | 현직원 | 울산 | 2019/6/3,생산직은 거의 꿈의 직장이라고 생각합니다 복지 근무형태 급여 등등 완벽합니다,생산직을 함으로써 일이 힘들줄 알았는데 그렇게 힘들다고 느껴지지 않습니다 스트레스 받을 일도 없이 자기 할일을 다하고 쉬면 누구도 머라고 하지 않아 좋은것 같습니다,계약직이다 보니 언제 짤릴지 모르는 위험감이 있어서 항상 불안에 떨며 일하고 있습니다 최고의 단점인것 같습니다,앞으로 미래를 위해서라도 새 청년들에게 현대자동차에 직원이 될수있게 끔 일자리를 많이 만들어 주십시요,2.0,5.0,3.0,5.0,3.0,3.6,2019-06-03 00:00:00, 울산 , 현직원 ,생산/제조 
54,생산관리/품질관리 | 전직원 | 전북 | 2019/6/2,현대라는 대기업 회사에서 차를 만든다는게 참 좋은 것 같다,직영들과 똑같이 월급 보너스를 받고 짝수달 마다 상여금이 나온다,연월차 쓰기에 눈치가 보이고 직영들 보다 힘든일을 조금 더 한다,계약직도 정규직 전환이 됐으면 좋겠지만 아무래도 안된다는게 현실이다,5.0,5.0,5.0,5.0,5.0,5.0,2019-06-02 00:00:00, 전북 , 전직원 ,생산관리/품질관리 
