,info,title,advantage,drawback,opinion,promotion,welfaresalary,worklifebalance,culture,executives,total,date,region,workingstatus,department
22,경영/기획/컨설팅 | 현직원 | 서울 | 2019/5/13,오르진 않지만 통신업계 중 연봉은 상위 기업문화도 나쁘지 않음,자율퇴근제가 좋고 구내식당도있음 을지로에 있어 주변 근무환경도 좋음,업무가 년단위로 바뀌는 경향이 있어 스페셜리스트가 되기에는 한계가 존재,,4.0,5.0,4.0,5.0,4.0,4.4,2019-05-13 00:00:00, 서울 , 현직원 ,경영/기획/컨설팅 
23,IT/인터넷 | 현직원 | 서울 | 2019/5/10,워라밸이 좋아 저녁에 개인 시간을 가질수있음 복지도 좋음,근무유연으로 워라밸이 좋습니다 자유롭게 다닐 수 있는 장점이 있습니다,팀마다 팀장님마다 분위기가 달라짐 약간 독재적인 면이 있음,구내식당이 있으나 좀 더 맛에 신경쓰면 좋겠습니다,3.0,3.0,4.0,3.0,3.0,3.2,2019-05-10 00:00:00, 서울 , 현직원 ,IT/인터넷 
24,디자인 | 전직원 | 서울 | 2019/5/2,업무강도 낮고 복지가 좋아서 오래다니기 좋은 곳입니다 근속 연수가 길고 내부 경쟁도 타 회사만큼 치열하진 않아서 경력직 분들이 오시면 만족하는 듯 합니다,기업문화가 유연하고 수평적인 편입니다 대부분 팀원들을 함께 안고가는 분위기라서 너무 모나거나 튀지 않으면 무난하게 다니는 것 같습니다 연봉도 대기업 중에서도 높은 편이고 안정적인 회사라서 국내 직장 중에서는 몇 없는 좋은 직장 입니다,산업이 다소 정체되어있다보니 내부에 일로서 성장할 수 있는 기회가 매우 적고 분위기도 다소 보수적인 공무원 문화라고 할 수 있습니다 팀에 따라 야근이 심한 부서도 있고 정치가 매우 심한 곳도 있으나 이 정도는 다른 기업도 비슷할 듯 합니다,보수적인 사내 문화를 바꿔서 보다 활력있는 분위기를 만들어야 향후에도 지속적으로 좋은 인력들이 투입되어 장기적으로 성장하는 회사가 될 것 같습니다,2.0,4.0,4.0,4.0,3.0,3.4,2019-05-02 00:00:00, 서울 , 전직원 ,디자인 
25,마케팅/시장조사 | 현직원 | 서울 | 2019/5/1,새로운 일을 할 기회가 많지 않은 곳 기획은 중요하나 실행이나 운영업무의 중요성은 간과되고 있어 상품서비스들이 살아남기 어려움,복지 연봉 나쁘지 않은 문화그러나 아직도 개선의 여지는 많음,보고서작성이 실무보다도 더 중요한 업무처럼 여겨짐 인수인계절벽 조직간 사일로 커리어유지 어려움,서비스 런칭후에 육성을 위한 노력과 시간이 필요하다는 점을 인지해야한다,3.0,4.0,4.0,4.0,3.0,3.6,2019-05-01 00:00:00, 서울 , 현직원 ,마케팅/시장조사 
26,IT/인터넷 | 현직원 | 서울 | 2019/4/14,워라밸이 좋음 복지가 좋음 네임밸류가 높아 다니면서 주변의 달라진 인식을 느낄수 있음,진정한 자율근무제가 시행되는 곳 다만 팀마다 분위기는 다를 수 있음,IT회사라기에는 시스템 및 리더쉽의 부재가 큼 개발자로 성장하기에는 한계가 있음 잦은 조직 개편으로 의외로 구성원들의 불안감이 높음,특정 분야에서는 한계를 인정하고 사업을 차근차근 전개해나갈 필요가 있음 모든 사업이 시작만 하면 자기네가 일류라고 함 이런 경영진의 인지부조화가 일을 망쳐 먹고 있음,2.0,4.0,4.0,3.0,2.0,3.0,2019-04-14 00:00:00, 서울 , 현직원 ,IT/인터넷 
27,IT/인터넷 | 현직원 | 서울 | 2019/4/12,연봉과 복지는 만족 그러나 주먹구구식 운영으로 불안함은 커져간다,국내 1위 통신사로서의 입지를 바탕으로 안정적인 연봉과 복지 그리고 국내 기업문화로선 최고 수준,규제산업인 통신업이기에 어쩔 수 없이 다음 먹거리를 찾아야하는데 마땅한 먹거리가 없어보이며 시시각각 변하는 상황으로 불안함,말도 안되는 사업에 집중하지말고 돈이될만한 먹거리를 먼저 찾았으면,3.0,4.0,3.0,5.0,5.0,4.0,2019-04-12 00:00:00, 서울 , 현직원 ,IT/인터넷 
28,마케팅/시장조사 | 현직원 | 서울 | 2019/4/8,좋은처우와 유연한 문화 성장에 대한 갈증은 숙제,연월차휴가 자유로움유연한분위기 똑똑한 사람들 좋은 복리후생,보고서 작업 많음 외주많음 내부에 인력적체 심화 지나친 조직간 사일로,새로운 성장동력을 빠르게 발굴해야할 필요 안정적이기는 하나 성장이 부족,3.0,5.0,4.0,4.0,4.0,4.0,2019-04-08 00:00:00, 서울 , 현직원 ,마케팅/시장조사 
29,교육 | 현직원 | 서울 | 2019/3/29,성장이 아쉽지만 인정적인 균형을 이루고 있음 미래가 살짝 불투명 하지만 저력이 있다고 생각,탐탄한 복지 급여 기업문화 뛰어난 인재들이 많음 전통적 지배덕 사업구ㅗ,정체된 성장 미래 먹거리의 부족 다소 우물안 개구리식 안일한 태고의 일부구성원,미래 성장 산업을 발굴해 주세요 그리고 좀 더 에자일한 기업문화를 만들어 주세요,4.0,4.0,4.0,4.0,5.0,4.2,2019-03-29 00:00:00, 서울 , 현직원 ,교육 
30,인사/총무 | 전직원 | 서울 | 2019/3/28,무능력한 CEO로 인해 미래는 어두울 것으로 예상,타기업에 비해 사내문화 연봉 만족할만한 수준입니다 꼰대팀만 걸리지 않는다면 편하게 회사생활 할 수 있어요,수평문화가 무엇인지 이해를 못하고 있는 기업 꼰대문화 인사철만 되면 줄타기 바쁨,,4.0,5.0,4.0,4.0,3.0,4.0,2019-03-28 00:00:00, 서울 , 전직원 ,인사/총무 
31,인사/총무 | 전직원 | 서울 | 2019/3/26,회사 분위기는 좋음 회의도 개방적인 분위기에서 진행하며 출퇴근 거리도 서울 중심에 있어 지하철이동시 편리함,회사 문화적인 측면에는 잘되어있다고 볼수있다 임원분들도 해외파출신들이 대다수 이며 나이불문하고 젊은층이 많은 회사임,젊은사람들이 많다보니 조직간의 예의가 없는거 같음 특히 신입사원들은 분위기에 적응하고 해야하는데 그런게 많이 부족하며 특히 여자팀장들이 문제임,모든 조직원들에게 정당하게 업무 배분하였으면 좋겠다 일도 하는사람만 하고 안하는사람은 그냥 앉아서 놀다가 시간떼우고 집에가는 일안하는 부장급들이 몇몇 있음,3.0,3.0,1.0,3.0,1.0,2.2,2019-03-26 00:00:00, 서울 , 전직원 ,인사/총무 
32,서비스/고객지원 | 전직원 | 서울 | 2019/3/20,말뿐이 아닌 선택근로제 자유롭지만 그만큼의 책임이 요구되는 곳,선택근로제여서 출퇴근이 자유로웠음 을지로에 있는 AI센터 계약직이었는데 파견직까지도 810시 사이 출근하고 주 40시간만 지키면 됨 야근 강요 안하는 데 업무에 따라 다른 듯 수평적인 분위기 안마의자에 도서관 넓고 깨끗한 사내식당 헬스 센터 다 이용 가능하고 사내복지 다 마음에 들었음,딱히 시스템적인 문제는 느끼지 못했으나 프로젝트 단위 부서가 많아 소속이 자꾸 바뀜 모르는 사이에 팀명이 바뀌어 있어서 놀랐음 하지만 딱히 계약직으로 불편한 점은 많지 않았음,구성원들의 의견을 적극적으로 들으려는 내부 시스템이 잘 마련되어 있어 좋았음 앞으로도 이렇게 해 나갔으면 함,3.0,5.0,5.0,5.0,5.0,4.6,2019-03-20 00:00:00, 서울 , 전직원 ,서비스/고객지원 
33,IT/인터넷 | 전직원 | 서울 | 2019/3/18,최고의 복지수준 최고의 직업만족도 업무강도역시 버겁지 않다,통신사 1위의 자부심 높은 연봉 그에 걸맞는 복지까지 주어집니다,내부에서 젊은 피를 수혈받아 좀더 영한 조직으로 탈바꿈하고자 합니다만 아직 갈 길이 먼듯 합니다,젊고 자유로운 분위기로 갈건지 수직적인 조직문화를 유지할 것인지에 대한 확실한 결정이 필요하다고 생각합니다,3.0,5.0,5.0,4.0,5.0,4.4,2019-03-18 00:00:00, 서울 , 전직원 ,IT/인터넷 
34,미디어/홍보 | 전직원 | 서울 | 2019/3/16,자유롭고 의견을 얘기하며 있었던곳 대기업다움을 경험한곳,대기업의 물적 인적 자원의 우수성을 충분히 경험할수 있는,낙하산이 많은 홍보팀 그래서 낙하산 전담하는 사람들이 있음,너무나 오래전이라 기억은 안나지만 그래도 합리적으로 잘 경영,3.0,3.0,3.0,4.0,3.0,3.2,2019-03-16 00:00:00, 서울 , 전직원 ,미디어/홍보 
35,IT/인터넷 | 현직원 | 서울 | 2019/3/9,선진기업의 모양새를 잘 갖춘 회사 할것만 잘 하면 많은 부분 자유롭고 상식적으로 돌아가는 곳,자율출퇴근 서로 신경 잘 안씀 복지 위치 상식적인 사람들,잦은 구조조성으로 조직결속력 및 업무애정도가 약함 서로 묵묵히 자기 일만함 소잃고 외양간 고치는일이 많음,자기일에 실력과 애정을 갖고있는사람이 같은일을 오래할수있었으면 좋겠음,3.0,4.0,4.0,3.0,3.0,3.4,2019-03-09 00:00:00, 서울 , 현직원 ,IT/인터넷 
36,IT/인터넷 | 현직원 | 서울 | 2019/3/7,워라밸 좋음 사람들도 좋으며 처우가 좋아 만족할 수 있음 개인과 회사의 성장은 의문,휴가 마음대로 쓸 수 있음 연봉이 높은 편임 계약 연봉은 적음,회사의 성장성이 낮음 중요한 일보다 쓸데 없는 일을 많이 함,,4.0,5.0,5.0,3.0,4.0,4.2,2019-03-07 00:00:00, 서울 , 현직원 ,IT/인터넷 
37,IT/인터넷 | 전직원 | 서울 | 2019/3/7,자유로운 만큼 극개인주의이고 질서가 없는 회사 실력만큼 인정받을 수 있는 회사,매우 자유롭고 상사 눈치를 보지 않고 다닐 수 있다 직급간 평등성이 꽤나 강하다 좌석도 자유롭게 앉을 수 있고 내가 원하는 환경에서 일할 수 있는 것이 장점이다 유연근무제가 매우 활성화되어있다,자유로운 만큼 질서가 없다 같은 부서 사람이 같은 공간에 있지 않을 때도 있고 서로 무슨 일을 하는지 모를 때도 있다 출퇴근 때 인사를 안하는 사람도 많고 혼밥하는 사람도 많다,스마트오피스도 좋지만 극개인주의를 피할 수 있는 방법이 마련되어야 할 것 같다,3.0,5.0,5.0,3.0,3.0,3.8,2019-03-07 00:00:00, 서울 , 전직원 ,IT/인터넷 
38,IT/인터넷 | 전직원 | 서울 | 2019/2/26,대기업이나 구성원들의 문화가 좋은 회사,자유로운 분위기 똑똑한 동료들 훌륭한 복지 시설 연수원 연수제도 구내식당,대기업의 성장 한계 정치적 문화 의사결정 프로세스 혁신 실행의 부족,,3.0,5.0,5.0,4.0,3.0,4.0,2019-02-26 00:00:00, 서울 , 전직원 ,IT/인터넷 
39,영업/제휴 | 전직원 | 경기 | 2019/2/25,워라밸이란 단어는 직원들에겐 없는 단어다 노동의 착취만 있을뿐 보상은 없다 여러사람 상대하고 싶으면 입사하길,대리점 근무시 실적에 따라 급여가 바뀔수 있음 월급쟁이 생활보단 영업의 길로 가실분은 입사 장벽이 낮기때문에 쉽게 일을 시작할수 있음 내근직이기때문에 몸은 편할수 있음,기본급여만 바라보고 입사를 한다면 최저임금보다 못한 급여 주6일 12시간씩 일해야 하는 근무 조건 사람 상대해야 하기때문에 스트레스가 많고 불안정한 급여 실적 압박을 견뎌내야 함,실적 대비 인센티브 차감 방식의 급여 체계는 부당하다고 생각됨,2.0,3.0,1.0,2.0,2.0,2.0,2019-02-25 00:00:00, 경기 , 전직원 ,영업/제휴 
40,서비스/고객지원 | 전직원 | 충북 | 2019/2/18,일강도 업무스트레스는 엄청빡세지만 복지는좋은회사,체계적인 교육시스템 사용은거의못하지만 많은연차 출산휴가와 육아휴가 복지는 최고인회사,업무스트레스과다 개개인의잘못을 팀잘못으로 넘겨 여러번보게하는 눈치 늦어도 8시 30분 근데 퇴근은,개인의잘못을 팀으로 넘기지말았으면 개개인 인센티브제는좋으나 남의잘못으로 나의월급에 영향미치는 일은 더이상 없었으면,4.0,5.0,1.0,3.0,3.0,3.2,2019-02-18 00:00:00, 충북 , 전직원 ,서비스/고객지원 
41,경영/기획/컨설팅 | 전직원 | 서울 | 2019/2/6,복지가 좋고 남녀 성비도 좋음 하지만 업무가 과도해 자유로운 출퇴근에도 불구하고 야근과 밤샘업무가 생길 수 있음,팀마다 차이는 있지만 회사 분위기가 자유롭고 수평적인 편 하지만 시즌별 과한 업무량으로 가끔 밤샘 작업고 필요한 곳 연차 휴가 등을 자유롭게 쓸 수 있고 퇴근시간 또한 비교적 자유로움,기술력이 좋은 회사이지만 경영지원 쪽으로는 데이터화가 덜 되어있어서 빠른 발전이 필요해 보임 이런 이유 때문에 불필요한 업무가 발생하는 일이 종종 있음,복지가 굉장히 좋고 사내 분위기가 자유롭지만 팀마나 약간의 지체가 있고 계약직으로 대체하는 영역이 많은 부분에서는 개선이 필요해 보임,3.0,5.0,4.0,4.0,4.0,4.0,2019-02-06 00:00:00, 서울 , 전직원 ,경영/기획/컨설팅 
42,인사/총무 | 전직원 | 서울 | 2019/2/4,회사 전체가 편안하고 안정적인 분위기로 적응하기 좋은 화사입니다 계약직에 대한 시선 및 처우가 좋았습니다,계약직에 대한 시선 및 처우가 좋음 직급체계가 없이 개방적인 업무환경을 추구함,재계약이 불가능하며 조직개편이 잦은편이라 매년 한두번씩 모두가 정신없는 분위기,계약직의 업무강도가 있는편안데 무기계약직으로라도 전환이 가능하다면 기업측에서도 효율적이지 않을까 싶습니다,3.0,5.0,5.0,5.0,4.0,4.4,2019-02-04 00:00:00, 서울 , 전직원 ,인사/총무 
43,IT/인터넷 | 현직원 | 서울 | 2019/1/30,다양한 개발환경 경험 가능합니다 역시 sk 하는 이유가 있네요,사무실 분위기도 좋고 개발환경이 개인적으로 만족하는편입니다,퇴근시간이 그때마다 다른것 빼고는 딱히 단점은 없습니다,업계1등을 유지할 수 있도록 신규사업 추진 및 활성화가 필요할듯합니다,3.0,4.0,4.0,4.0,4.0,3.8,2019-01-30 00:00:00, 서울 , 현직원 ,IT/인터넷 
