,title,advantage,drawback,opinion,total_text,company,title_key,advantage_key,drawback_key,opinion_key
244,오르진 않지만 통신업계 중 연봉은 상위 기업문화도 나쁘지 않음,자율퇴근제가 좋고 구내식당도있음 을지로에 있어 주변 근무환경도 좋음,업무가 년단위로 바뀌는 경향이 있어 스페셜리스트가 되기에는 한계가 존재,,오르진 않지만 통신업계 중 연봉은 상위 기업문화도 나쁘지 않음 자율퇴근제가 좋고 구내식당도있음 을지로에 있어 주변 근무환경도 좋음 업무가 년단위로 바뀌는 경향이 있어 스페셜리스트가 되기에는 한계가 존재 NaN,sk텔레콤,만족스러운연봉 만족스러운문화,자유로운출퇴근 만족스러운복지 좋은근무환경,개인의커리어성장불가 비체계적인업무,의견없음
245,워라밸이 좋아 저녁에 개인 시간을 가질수있음 복지도 좋음,근무유연으로 워라밸이 좋습니다 자유롭게 다닐 수 있는 장점이 있습니다,팀마다 팀장님마다 분위기가 달라짐 약간 독재적인 면이 있음,구내식당이 있으나 좀 더 맛에 신경쓰면 좋겠습니다,워라밸이 좋아 저녁에 개인 시간을 가질수있음 복지도 좋음 근무유연으로 워라밸이 좋습니다 자유롭게 다닐 수 있는 장점이 있습니다 팀마다 팀장님마다 분위기가 달라짐 약간 독재적인 면이 있음 구내식당이 있으나 좀 더 맛에 신경쓰면 좋겠습니다,sk텔레콤,일과삶의균형 만족스러운복지,자유로운출퇴근 일과삶의균형,부서별문화차이 수직적인문화,불만족스러운복지
246,업무강도 낮고 복지가 좋아서 오래다니기 좋은 곳입니다 근속 연수가 길고 내부 경쟁도 타 회사만큼 치열하진 않아서 경력직 분들이 오시면 만족하는 듯 합니다,기업문화가 유연하고 수평적인 편입니다 대부분 팀원들을 함께 안고가는 분위기라서 너무 모나거나 튀지 않으면 무난하게 다니는 것 같습니다 연봉도 대기업 중에서도 높은 편이고 안정적인 회사라서 국내 직장 중에서는 몇 없는 좋은 직장 입니다,산업이 다소 정체되어있다보니 내부에 일로서 성장할 수 있는 기회가 매우 적고 분위기도 다소 보수적인 공무원 문화라고 할 수 있습니다 팀에 따라 야근이 심한 부서도 있고 정치가 매우 심한 곳도 있으나 이 정도는 다른 기업도 비슷할 듯 합니다,보수적인 사내 문화를 바꿔서 보다 활력있는 분위기를 만들어야 향후에도 지속적으로 좋은 인력들이 투입되어 장기적으로 성장하는 회사가 될 것 같습니다,업무강도 낮고 복지가 좋아서 오래다니기 좋은 곳입니다 근속 연수가 길고 내부 경쟁도 타 회사만큼 치열하진 않아서 경력직 분들이 오시면 만족하는 듯 합니다 기업문화가 유연하고 수평적인 편입니다 대부분 팀원들을 함께 안고가는 분위기라서 너무 모나거나 튀지 않으면 무난하게 다니는 것 같습니다 연봉도 대기업 중에서도 높은 편이고 안정적인 회사라서 국내 직장 중에서는 몇 없는 좋은 직장 입니다 산업이 다소 정체되어있다보니 내부에 일로서 성장할 수 있는 기회가 매우 적고 분위기도 다소 보수적인 공무원 문화라고 할 수 있습니다 팀에 따라 야근이 심한 부서도 있고 정치가 매우 심한 곳도 있으나 이 정도는 다른 기업도 비슷할 듯 합니다 보수적인 사내 문화를 바꿔서 보다 활력있는 분위기를 만들어야 향후에도 지속적으로 좋은 인력들이 투입되어 장기적으로 성장하는 회사가 될 것 같습니다,sk텔레콤,적정한업무량 장기근속가능 전반적인만족,수평적인문화 좋은팀워크 만족스러운연봉 고용안정성,부정적인산업변화 개인의커리어성장불가 수직적인문화 잦은야근 사내정치,문화혁신필요 인력충원필요
247,새로운 일을 할 기회가 많지 않은 곳 기획은 중요하나 실행이나 운영업무의 중요성은 간과되고 있어 상품서비스들이 살아남기 어려움,복지 연봉 나쁘지 않은 문화그러나 아직도 개선의 여지는 많음,보고서작성이 실무보다도 더 중요한 업무처럼 여겨짐 인수인계절벽 조직간 사일로 커리어유지 어려움,서비스 런칭후에 육성을 위한 노력과 시간이 필요하다는 점을 인지해야한다,새로운 일을 할 기회가 많지 않은 곳 기획은 중요하나 실행이나 운영업무의 중요성은 간과되고 있어 상품서비스들이 살아남기 어려움 복지 연봉 나쁘지 않은 문화그러나 아직도 개선의 여지는 많음 보고서작성이 실무보다도 더 중요한 업무처럼 여겨짐 인수인계절벽 조직간 사일로 커리어유지 어려움 서비스 런칭후에 육성을 위한 노력과 시간이 필요하다는 점을 인지해야한다,sk텔레콤,단조로운업무 안좋은제품품질,만족스러운연봉 만족스러운복지,비체계적인업무 개인의커리어성장불가능,추가투자필요 변화필요
248,워라밸이 좋음 복지가 좋음 네임밸류가 높아 다니면서 주변의 달라진 인식을 느낄수 있음,진정한 자율근무제가 시행되는 곳 다만 팀마다 분위기는 다를 수 있음,IT회사라기에는 시스템 및 리더쉽의 부재가 큼 개발자로 성장하기에는 한계가 있음 잦은 조직 개편으로 의외로 구성원들의 불안감이 높음,특정 분야에서는 한계를 인정하고 사업을 차근차근 전개해나갈 필요가 있음 모든 사업이 시작만 하면 자기네가 일류라고 함 이런 경영진의 인지부조화가 일을 망쳐 먹고 있음,워라밸이 좋음 복지가 좋음 네임밸류가 높아 다니면서 주변의 달라진 인식을 느낄수 있음 진정한 자율근무제가 시행되는 곳 다만 팀마다 분위기는 다를 수 있음 IT회사라기에는 시스템 및 리더쉽의 부재가 큼 개발자로 성장하기에는 한계가 있음 잦은 조직 개편으로 의외로 구성원들의 불안감이 높음 특정 분야에서는 한계를 인정하고 사업을 차근차근 전개해나갈 필요가 있음 모든 사업이 시작만 하면 자기네가 일류라고 함 이런 경영진의 인지부조화가 일을 망쳐 먹고 있음,sk텔레콤,일과삶의균형 기업자부심,자유로운출퇴근,부서별문화차이 개인의커리어성장불가능 비체계적인업무 고용불안정성,추가투자필요 경영진불만 임직원간의사소통문제
249,연봉과 복지는 만족 그러나 주먹구구식 운영으로 불안함은 커져간다,국내 1위 통신사로서의 입지를 바탕으로 안정적인 연봉과 복지 그리고 국내 기업문화로선 최고 수준,규제산업인 통신업이기에 어쩔 수 없이 다음 먹거리를 찾아야하는데 마땅한 먹거리가 없어보이며 시시각각 변하는 상황으로 불안함,말도 안되는 사업에 집중하지말고 돈이될만한 먹거리를 먼저 찾았으면,연봉과 복지는 만족 그러나 주먹구구식 운영으로 불안함은 커져간다 국내 1위 통신사로서의 입지를 바탕으로 안정적인 연봉과 복지 그리고 국내 기업문화로선 최고 수준 규제산업인 통신업이기에 어쩔 수 없이 다음 먹거리를 찾아야하는데 마땅한 먹거리가 없어보이며 시시각각 변하는 상황으로 불안함 말도 안되는 사업에 집중하지말고 돈이될만한 먹거리를 먼저 찾았으면,sk텔레콤,만족스러운연봉 만족스러운복지 비체계적인업무,기업자부심 만족스러운연봉 만족스러운복지 만족스러운문화,불안정적인회사전망 비체계적인업무,추가투자필요 경영진불만
250,좋은처우와 유연한 문화 성장에 대한 갈증은 숙제,연월차휴가 자유로움유연한분위기 똑똑한 사람들 좋은 복리후생,보고서 작업 많음 외주많음 내부에 인력적체 심화 지나친 조직간 사일로,새로운 성장동력을 빠르게 발굴해야할 필요 안정적이기는 하나 성장이 부족,좋은처우와 유연한 문화 성장에 대한 갈증은 숙제 연월차휴가 자유로움유연한분위기 똑똑한 사람들 좋은 복리후생 보고서 작업 많음 외주많음 내부에 인력적체 심화 지나친 조직간 사일로 새로운 성장동력을 빠르게 발굴해야할 필요 안정적이기는 하나 성장이 부족,sk텔레콤,합리적인대우 수평적인문화 불안정적인회사전망,만족스러운복지 자유로운출퇴근 수평적인문화 다양한인재,비체계적인업무 불공평한업무량,불안정적인회사전망 추가투자필요
251,성장이 아쉽지만 인정적인 균형을 이루고 있음 미래가 살짝 불투명 하지만 저력이 있다고 생각,탐탄한 복지 급여 기업문화 뛰어난 인재들이 많음 전통적 지배덕 사업구ㅗ,정체된 성장 미래 먹거리의 부족 다소 우물안 개구리식 안일한 태고의 일부구성원,미래 성장 산업을 발굴해 주세요 그리고 좀 더 에자일한 기업문화를 만들어 주세요,성장이 아쉽지만 인정적인 균형을 이루고 있음 미래가 살짝 불투명 하지만 저력이 있다고 생각 탐탄한 복지 급여 기업문화 뛰어난 인재들이 많음 전통적 지배덕 사업구ㅗ 정체된 성장 미래 먹거리의 부족 다소 우물안 개구리식 안일한 태고의 일부구성원 미래 성장 산업을 발굴해 주세요 그리고 좀 더 에자일한 기업문화를 만들어 주세요,sk텔레콤,불안정적인회사전망,만족스러운복지 만족스러운문화 다양한인재,불안정적인회사전망 고지식한상사 비체계적인업무,불안정적인회사전망 추가투자필요 문화혁신필요
252,무능력한 CEO로 인해 미래는 어두울 것으로 예상,타기업에 비해 사내문화 연봉 만족할만한 수준입니다 꼰대팀만 걸리지 않는다면 편하게 회사생활 할 수 있어요,수평문화가 무엇인지 이해를 못하고 있는 기업 꼰대문화 인사철만 되면 줄타기 바쁨,,무능력한 CEO로 인해 미래는 어두울 것으로 예상 타기업에 비해 사내문화 연봉 만족할만한 수준입니다 꼰대팀만 걸리지 않는다면 편하게 회사생활 할 수 있어요 수평문화가 무엇인지 이해를 못하고 있는 기업 꼰대문화 인사철만 되면 줄타기 바쁨 NaN,sk텔레콤,불안정적인회사전망 경영진불만,만족스러운복지 만족스러운문화 다양한인재,고지식한상사 부서별문화차이 수직적인문화 사내정치,의견없음
253,회사 분위기는 좋음 회의도 개방적인 분위기에서 진행하며 출퇴근 거리도 서울 중심에 있어 지하철이동시 편리함,회사 문화적인 측면에는 잘되어있다고 볼수있다 임원분들도 해외파출신들이 대다수 이며 나이불문하고 젊은층이 많은 회사임,젊은사람들이 많다보니 조직간의 예의가 없는거 같음 특히 신입사원들은 분위기에 적응하고 해야하는데 그런게 많이 부족하며 특히 여자팀장들이 문제임,모든 조직원들에게 정당하게 업무 배분하였으면 좋겠다 일도 하는사람만 하고 안하는사람은 그냥 앉아서 놀다가 시간떼우고 집에가는 일안하는 부장급들이 몇몇 있음,회사 분위기는 좋음 회의도 개방적인 분위기에서 진행하며 출퇴근 거리도 서울 중심에 있어 지하철이동시 편리함 회사 문화적인 측면에는 잘되어있다고 볼수있다 임원분들도 해외파출신들이 대다수 이며 나이불문하고 젊은층이 많은 회사임 젊은사람들이 많다보니 조직간의 예의가 없는거 같음 특히 신입사원들은 분위기에 적응하고 해야하는데 그런게 많이 부족하며 특히 여자팀장들이 문제임 모든 조직원들에게 정당하게 업무 배분하였으면 좋겠다 일도 하는사람만 하고 안하는사람은 그냥 앉아서 놀다가 시간떼우고 집에가는 일안하는 부장급들이 몇몇 있음,sk텔레콤,수평적인문화 자유로운출퇴근 입지의편의성 만족스러운문화,수평적인문화 만족스러운문화 유연한상사,비합리적인대우 좋지않은팀워크,불공평한업무량분배 비합리적인대우 월급루팡 고지식한상사
