,info,title,advantage,drawback,opinion,promotion,welfaresalary,worklifebalance,culture,executives,total,date,region,workingstatus,department
32,경영/기획/컨설팅 | 전직원 | 서울 | 2019/5/3,처음에 잘 모를 때는 그렇지 않은 듯하나 사실상 굉장히 보수적이고 수직적인 조직 권한이 많음에도 다니는 사람들의 업무만족도가 다소 낮음,초봉이 업계 대비 높음 직급 대비 권한을 많이 받는 경우가 많음 52시간제를 지켜야한 뒤로부터는 대부분 칼퇴 가능 8시출근 5시 퇴근,너무나 수직적인 분위기 브랜드 바이 브랜드긴 함 패션을 좋아해서 온 사람들이 실망하는 경우가 많음 능력있는 사람들은 왠지 다 퇴사함 사원급 주임급이 직급 대비 큰 권한을 갖기도 하는 이유 중 하나임 대리 이상 승진은 정치질 필요 초봉만 높고 연봉상승률이 낮은편이며 복지가 거의 없음 어린이집 정도,,2.0,2.0,3.0,1.0,2.0,2.0,2019-05-03 00:00:00, 서울 , 전직원 ,경영/기획/컨설팅 
33,경영/기획/컨설팅 | 전직원 | 해외 | 2019/4/30,기독교 문화가 강요는 아니지만 반드시 따를수 밖에 없는 분위기,비교적 자유로운 기업 분위기 및 상하 관계가 비교적 오픈되어 있어서 딱딱하지 않음,기독교 문화가 강요가 아니라고 하지만 매일 아침에 QT 시간이 있고 일주일에 한번은 월요 예배가 있어서 비기독교인에게는 적응하기 어려운 분위기 그리고 모든 업무의 목적이 수익 창출에 있지만 그보다 더 기독교 문화 확산에 있는듯,종교적인 부분에 대해서 좀 더 오픈 마인드를 가졌으면 함,3.0,3.0,2.0,2.0,3.0,2.6,2019-04-30 00:00:00, 해외 , 전직원 ,경영/기획/컨설팅 
34,디자인 | 현직원 | 서울 | 2019/4/30,오너 중심으로 경영되어 기업문화가 경직되어 있다,대기업이라 복지 관련해서 눈치 안보고 쓰는 것 출산휴가 연차 육아 휴직 등 자유롭다 기독교 회사라 술 마시는 회식 문화가 없다 현 직군에서 다른 회사 대비 연봉이 좋은 편이다,윗사람에게 맞춰주기 위한 무의미한 페이퍼 워크가 많다 제대로된 성과 보상이 이루어지지 않다보니 열심히 일하는 사람이 없고 사람들이 정치만 한다 결국 잘하는 사람은 외부로 빠져나간다,회사가 성장하기 위해서는 사람이 가장 중요한데 무의미한 보고와 잘보이려는 사람에 현혹되어 일 잘하는 사람을 놓치는 것 같다 일 잘하는 사람들을 잡을 수 있도록 경영진이 노력해야 한다,2.0,4.0,3.0,1.0,1.0,2.2,2019-04-30 00:00:00, 서울 , 현직원 ,디자인 
35,서비스/고객지원 | 전직원 | 서울 | 2019/4/26,다닐만 한 회사이미지 나쁘지 않은 회사교통편 괜찮음,나름 수평적인 분위기일을 좀 배울 수 있음이미지 나름 괜찮음,내가 일할 당시에는 사무실이나 그런 환경이 좀 열악 했음,기독교 시간 싫음 기독교 시간 싫음 기독교 시간 싫음 기독교 시간 싫음,3.0,3.0,3.0,3.0,3.0,3.0,2019-04-26 00:00:00, 서울 , 전직원 ,서비스/고객지원 
36,디자인 | 전직원 | 서울 | 2019/4/20,나름 업무에 대한 체계를 배울수 있으나 기독교 정신으로 직원들의 희생을 정당화 하는 회사,빡쎄게 업무를 배울수 있다 다들 일중독처럼 일하기에 다른 회사에 이직하더라도 이랜드 출신을 반긴다,야근이 많다 성과위주의 기업 운영으로 개개인에 대한 평가 기준이 확실해서 내부 경쟁이 심하다,조이고 짜내어 회사의 지출을 줄이려는 것이 오히려 직원들의 의욕을 저하시키는 독이된다 직원의 입장에서 경영하기를 바란다,2.0,3.0,2.0,2.0,3.0,2.4,2019-04-20 00:00:00, 서울 , 전직원 ,디자인 
37,영업/제휴 | 전직원 | 서울 | 2019/4/19,비상장독교기업으로훌륭한회사임을자부함패션유통외식특화된회사이나대기업보다는중견기업수준의그룹시스템성수형님중심의1인오너체제에서최근몇년간비상경영체제전환후내부인재들을리더자로승진시킴유튜브나카페등에회사에대한내용거의다사실인경우가많으나회사에대한애사심이그단점들을커버함,사업부도다양하면젊은시절최선을다해서경험해보기좋은회사임참신하고좋은회사임공식적으로는술먹는회식없음그래서음성적으로만나고술마심술먹는거걸리면경영자될수없음,회사내부규칙과계열사간거래가많음예를들면엑셀을잘해야함이랜드내에서나통하는일하는방식이있고거기서못벗어나면다른회사나가바보됨거기에만족하는분들은과장승진해서잘버팀그런데과장승진을잘안시켜줌거룩한비둘기들의모임최근에신입사원뽑지않고기존직원들계속나가는추세오갈때없고대안없고자신없는자들이많이남아있음거의과장승진잘안시킴06년입사자가아직도대리로남아있을정도로승진을잘안시킴,감사했습니다박성수회장님대단한분이시고비상장회사이지만경영자는참대단하신분,2.0,3.0,3.0,5.0,4.0,3.4,2019-04-19 00:00:00, 서울 , 전직원 ,영업/제휴 
38,미디어/홍보 | 전직원 | 서울 | 2019/4/17,정치판이 되어버린 일랜드 실무를 모르는 리더들의 뜬구름잡는 디렉팅,기업문화는 좋음 체육대회나 꽃구경같은 행사는 꼭 챙기는편,보고서작성이 많고 입으로 일하고 페이퍼로 일하고 정작 현업은 대충,,1.0,2.0,3.0,4.0,1.0,2.2,2019-04-17 00:00:00, 서울 , 전직원 ,미디어/홍보 
39,마케팅/시장조사 | 현직원 | 서울 | 2019/4/16,캠퍼스 생활 같은 회사 생활 그런데 경영자도 다 같은 학생급,동종 업계 높은 연봉 직무 이동이 비교적 자유로움 연차 사용이 자유로운 편,수많은 페이퍼 업무 오버헤드 실무 경험과 능력이 부족한 경영자 다수,,3.0,3.0,2.0,2.0,1.0,2.2,2019-04-16 00:00:00, 서울 , 현직원 ,마케팅/시장조사 
40,디자인 | 전직원 | 서울 | 2019/4/15,여기 오래 다닌 사람들 진짜 정신병 검사해봐야 함 자기주도적으로 일하기 감사한 마음 가지기 등 온갖 노예 스러운 것들을 원하는 기업,업무가 없는 시간에도 프로젝트란 명목으로 트레이닝을 하는 것을 좋아하므로 발전을 할수 있음,직원들의 아이디어를 착즙하며 여기 오래 다닌 사람들 진짜 정신병 검사해봐야 함 자기주도적으로 일하기 감사한 마음 가지기 등 온갖 노예 스러운 것들을 원함 하느님의 왕국 건설을 위해 이바지하고 싶다면 추천 그리고 경쟁을 너무 좋아함 새벽에 사람 불러 업무외적의 것을 하는 것을 좋아하는 기업,자기가 대단한 신인척 강의 다니지 말았으면 하고 도덕적 결함에 대해서도 한번 생각해 봤으면 좋겠음,3.0,3.0,1.0,1.0,1.0,1.8,2019-04-15 00:00:00, 서울 , 전직원 ,디자인 
41,경영/기획/컨설팅 | 전직원 | 서울 | 2019/4/10,독특한 문화로 말도 많이 나오지만 미션이 확실한 회사,미션 중심 회사 기업의 미션에 공감하고 동의하는 사람들은 정말 열심히 일하는 분위기 비교적 실무진에게 권한이 많다,지금은 조금 나아졌지만 7시 출근 등 과한 빡셈이 있다,불만이나 건의 사항이 많은 분들도 있겠지만 저는 딱히 없습니다,3.0,3.0,3.0,4.0,3.0,3.2,2019-04-10 00:00:00, 서울 , 전직원 ,경영/기획/컨설팅 
