,info,title,advantage,drawback,opinion,promotion,welfaresalary,worklifebalance,culture,executives,total,date,region,workingstatus,department
82,IT/인터넷 | 전직원 | 경기 | 2019/4/7,개발자가 대우받는 분위기이며 대체로 일하는 분위기가 수평적이다,업무 분담이 확실한 편이고 근무 환경이 매우 좋다 또한 안마시설 조식 간식 구내식당 등 근무환경이 매우 좋은 편이다,일하는 부서에 따라 업무 강도가 천차만별이다 매일 야근하는 팀도 있다,직원들의 업무 분담을 더 명확하게 했으면 좋겠습니다,5.0,5.0,4.0,5.0,4.0,4.6,2019-04-07 00:00:00, 경기 , 전직원 ,IT/인터넷 
83,IT/인터넷 | 전직원 | 경기 | 2019/4/5,회사가 커서 조직마다 분위기가 다름 그룹UGC에 있었는데 좋았음,업계 대비 높은 보상 유연출퇴근 휴가 눈치 안 봄 일이 재밌음 네이버 다니는 자부심,안정적인걸 추구함 좀 더 도전적인 걸 하기에는 맞지 않는 회사 별다른 단점 없이 잘 다님,경영진을 한 번도 만나보진 못 했지만 앞으로도 잘 이끌어주세요,4.0,4.0,5.0,5.0,3.0,4.2,2019-04-05 00:00:00, 경기 , 전직원 ,IT/인터넷 
84,IT/인터넷 | 전직원 | 경기 | 2019/4/4,구글링 안해도 될정도로 사내위키가 훌륭 빠른 성장 가능할 듯 사내 정치 있음,개발자가 빨리 성장할 수 있는 회사 사내위키가 훌륭하고 신입이 배우기 좋은 코드들이 많다 많이 흡수하면 흡수할수록 득이 될 듯,사내 정치가 존재한다 인턴하면서도 느껴질 정도로 현란하게 하는 것 같다 정치로 인해 업무의 딜레이가 발생하는 것 같다,너무 안전지향적인 것 같다 국내 포털 1위를 지키기 위함인 것은 알지만 도전정신으로 큰 회사임을 잊지 않으면 좋겠다,3.0,4.0,3.0,3.0,3.0,3.2,2019-04-04 00:00:00, 경기 , 전직원 ,IT/인터넷 
85,IT/인터넷 | 현직원 | 경기 | 2019/4/4,프로젝트 매니저 역할이 다소 모호하지만 큰 서비스를 경험할 수 있는 기업,대기업 대비 유연한 기업문화 높은 처우 장비대여 등이 여유 있음,탑다운 의사결정구조 HR 아웃소싱으로 유연성이 많이 떨어지는 사업지원 구조가 답답함,마이크로 매니지먼트 보다 권한 위임할 수 있는 구조 필요,3.0,5.0,5.0,3.0,2.0,3.6,2019-04-04 00:00:00, 경기 , 현직원 ,IT/인터넷 
86,IT/인터넷 | 현직원 | 서울 | 2019/4/4,만족만족만족만족만족만족만족맘졷만족만족,만족합니다 좋은회사 탄탄한가요 네임발류 좋은 네트워크와 이력서에 쓸수있는게 많음,야근이 많음 출퇴근이 조금 어려움점 생각보다 일이 많은것과 업무 스트레스가 꽤 상당함,그다지 없음 그다지 없음 그다지 없음 그다지 없음,5.0,5.0,5.0,5.0,5.0,5.0,2019-04-04 00:00:00, 서울 , 현직원 ,IT/인터넷 
87,IT/인터넷 | 현직원 | 경기 | 2019/4/1,주니어가 성장하기에 좋은 곳 하지만 팀바팀이 심하다,출퇴근 시간 연차 사용 등 모든 것이 자유롭다 수평적 구조로 자유롭게 의견을 이야기할 수 있고 즉각적인 피드백을 받을 수 있다 기술적으로 성장하기 좋은 환경이다,부바부 팀바팀이 심하다 내가 장점이라고 적은 모든 것이 어떤 부서 어떤 팀에는 전혀 해당되지 않을 수 있다,방향성이 너무 불분명한 것 같다 매년 모든 것이 너무 급작스럽게 바뀐다,4.0,4.0,2.0,5.0,2.0,3.4,2019-04-01 00:00:00, 경기 , 현직원 ,IT/인터넷 
88,IT/인터넷 | 현직원 | 경기 | 2019/3/31,부서 바이 부서가 심함 동료들은 정말 착하고 좋음,동료들이 정말 편하고 친절함 또라이 보존법칙이 은근 적은 것 같음,고연차일수록 공무원이 너무 많음 실력있는 개발자는 네이버로 모인다는 것은 다 옛말,개발자를 채용할 때 제발 보는 눈좀 높였으면 좋겠음,4.0,5.0,5.0,5.0,4.0,4.6,2019-03-31 00:00:00, 경기 , 현직원 ,IT/인터넷 
89,경영/기획/컨설팅 | 전직원 | 경기 | 2019/3/28,일 안해도 테가 전혀 안나서 일 안하고 회사 다니는 사람들이 많다,자유로움 회사가 당분간 망할일은 없어 월급이 꼬박꼬박 나옴 건물은 좋은편,경기도여서 서울 나오기 힘듬 맨파워 많이 떨어져 일 배우기는 기대 안하는게 낫다 일이 산으로 간다,,2.0,2.0,3.0,2.0,1.0,2.0,2019-03-28 00:00:00, 경기 , 전직원 ,경영/기획/컨설팅 
90,IT/인터넷 | 전직원 | 서울 | 2019/3/27,개발자가 대우받으며 보람차게 일할 수있는곳,연차를 윗사람 눈치 안보고 쓸수있음 도서구입비 학원수강료 등 자기계발 비용지원 야근 식대 1만원까지 제공 수평적인 사무실 분위기 업무 분담 체계가 확실해 자기분야 전문성을 기를 수 있음 사업기반이 안정적이고 체계적인 교육시스템이 갖춰져 신입에게 추천  이상입니다 ㅡ,단순 보고를 위한 문서 작업이 많아 비효율적 복지제도가 다양하지만 실제로 쓸수없음 출근 시간은 9시인데 퇴근시간은 연봉이 많다지만 시간급은 형편없음 과장 차장이 많아 승진이 어렵다 이상입니다,신규사업 추진에 적극적인 투자 의지를 보여줬으면 직원들의 불만을 듣지만 말고 해결채글 마련해줬으면 합리적인 복지 밒 보상 체계를 마련해 줬으면 좋겠다 군대 문화를 줄여줬으면 좋겠다,3.0,3.0,3.0,3.0,3.0,3.0,2019-03-27 00:00:00, 서울 , 전직원 ,IT/인터넷 
91,경영/기획/컨설팅 | 전직원 | 경기 | 2019/3/25,Excellent work culture I enjoyed my internship working with intelligent colleagues,Flexible work hour The official work hour was 10 to 7 Great cafeteria Amazing food at a cheap price,I felt like the company was too focused on techengineering jobs that the business brain was a bit missing,I thought that the company should better focus in developing their existing business than investing too much in new business,4.0,5.0,5.0,5.0,3.0,4.4,2019-03-25 00:00:00, 경기 , 전직원 ,경영/기획/컨설팅 
